Data;Título;Link;Termo da pesquisa ;Autor;Fontes;Assuntos tratados;;
06.09.2014 ;Grand déballage avant les élections brésiliennes;http://www.lemonde.fr/ameriques/article/2014/09/06/grand-deballage-avant-les-elections-bresiliennes_4483183_3222.html?xtmc=lava_jato&xtcr=88;Lava Jato;Le Monde;Folha de S. Paulo;Petrobras;;
06.09.2014 ;Grand déballage avant les élections brésiliennes;http://www.lemonde.fr/ameriques/article/2014/09/06/grand-deballage-avant-les-elections-bresiliennes_4483183_3222.html?xtmc=lava_jato&xtcr=88;Lava Jato;Le Monde;O Estado de S. Paulo;Petrobras;;
06.09.2014 ;Grand déballage avant les élections brésiliennes;http://www.lemonde.fr/ameriques/article/2014/09/06/grand-deballage-avant-les-elections-bresiliennes_4483183_3222.html?xtmc=lava_jato&xtcr=88;Lava Jato;Le Monde;G1;Petrobras;;
06.09.2014 ;Grand déballage avant les élections brésiliennes;http://www.lemonde.fr/ameriques/article/2014/09/06/grand-deballage-avant-les-elections-bresiliennes_4483183_3222.html?xtmc=lava_jato&xtcr=88;Lava Jato;Le Monde;Paulo Roberto Costa;Petrobras;;
29.01.2015;Petrobras, le scandale qui éclabousse le Brésil;http://www.lemonde.fr/economie/article/2015/01/29/petrobras-le-scandale-qui-eclabousse-le-bresil_4566011_3234.html?xtmc=lava_jato&xtcr=85;Lava Jato  ;Correspondente Nicolas Bourcier;Polícia;Escâdalo Petrobrás;;
29.01.2015;Petrobras, le scandale qui éclabousse le Brésil;http://www.lemonde.fr/economie/article/2015/01/29/petrobras-le-scandale-qui-eclabousse-le-bresil_4566011_3234.html?xtmc=lava_jato&xtcr=85;Lava Jato  ;Correspondente Nicolas Bourcier;advogado de um dos réus;Escâdalo Petrobrás;;
29.01.2015;Petrobras, le scandale qui éclabousse le Brésil;http://www.lemonde.fr/economie/article/2015/01/29/petrobras-le-scandale-qui-eclabousse-le-bresil_4566011_3234.html?xtmc=lava_jato&xtcr=85;Lava Jato  ;Correspondente Nicolas Bourcier;revista Exame;Escâdalo Petrobrás;;
29.01.2015;Petrobras, le scandale qui éclabousse le Brésil;http://www.lemonde.fr/economie/article/2015/01/29/petrobras-le-scandale-qui-eclabousse-le-bresil_4566011_3234.html?xtmc=lava_jato&xtcr=85;Lava Jato  ;Correspondente Nicolas Bourcier;um antigo funcionário da Petrobras;Escâdalo Petrobrás;;
29.01.2015;Petrobras, le scandale qui éclabousse le Brésil;http://www.lemonde.fr/economie/article/2015/01/29/petrobras-le-scandale-qui-eclabousse-le-bresil_4566011_3234.html?xtmc=lava_jato&xtcr=85;Lava Jato  ;Correspondente Nicolas Bourcier;Ministério Público;Escâdalo Petrobrás;;
29.01.2015;Petrobras, le scandale qui éclabousse le Brésil;http://www.lemonde.fr/economie/article/2015/01/29/petrobras-le-scandale-qui-eclabousse-le-bresil_4566011_3234.html?xtmc=lava_jato&xtcr=85;Lava Jato  ;Correspondente Nicolas Bourcier;anônimo envolvido na investigação;Escâdalo Petrobrás;;
29.01.2015;Petrobras, le scandale qui éclabousse le Brésil;http://www.lemonde.fr/economie/article/2015/01/29/petrobras-le-scandale-qui-eclabousse-le-bresil_4566011_3234.html?xtmc=lava_jato&xtcr=85;Lava Jato  ;Correspondente Nicolas Bourcier;;Escâdalo Petrobrás;;
04.03.2015;Au Brésil, 54 personnalités liées à la politique visées dans le dossier Petrobras;http://www.lemonde.fr/ameriques/article/2015/03/04/au-bresil-54-personnalites-liees-a-la-politique-visees-dans-le-dossier-petrobras_4586872_3222.html?xtmc=lava_jato&xtcr=87;Lava Jato;AFP e Reuters;Ministério Público;Escândalo Petrobras/ Matéria explicativa sobre a Lava Jato;;
04.03.2015;Au Brésil, 54 personnalités liées à la politique visées dans le dossier Petrobras;http://www.lemonde.fr/ameriques/article/2015/03/04/au-bresil-54-personnalites-liees-a-la-politique-visees-dans-le-dossier-petrobras_4586872_3222.html?xtmc=lava_jato&xtcr=87;Lava Jato;AFP e Reuters;Rodrigo Janot;Escândalo Petrobras/ Matéria explicativa sobre a Lava Jato;;
07.03.2015;Tremblement de terre politique au Brésil;http://www.lemonde.fr/ameriques/article/2015/03/07/tremblement-de-terre-politique-au-bresil_4589332_3222.html?xtmc=lava_jato&xtcr=86;Lava Jato;Correspondente Nicolas Bourcier;Jornal O Globo;Escândalos Políticos- Lava Jato;Lista de Janot;
07.03.2015;Tremblement de terre politique au Brésil;http://www.lemonde.fr/ameriques/article/2015/03/07/tremblement-de-terre-politique-au-bresil_4589332_3222.html?xtmc=lava_jato&xtcr=86;Lava Jato;Correspondente Nicolas Bourcier;Fonte anônima ligada ao PMDB;Escândalos Políticos- Lava Jato;Lista de Janot;
07.03.2015;Tremblement de terre politique au Brésil;http://www.lemonde.fr/ameriques/article/2015/03/07/tremblement-de-terre-politique-au-bresil_4589332_3222.html?xtmc=lava_jato&xtcr=86;Lava Jato;Correspondente Nicolas Bourcier;politólogo Roberto Romano;Escândalos Políticos- Lava Jato;Lista de Janot;
07.03.2015;Tremblement de terre politique au Brésil;http://www.lemonde.fr/ameriques/article/2015/03/07/tremblement-de-terre-politique-au-bresil_4589332_3222.html?xtmc=lava_jato&xtcr=86;Lava Jato;Correspondente Nicolas Bourcier;especialistas;Escândalos Políticos- Lava Jato;Lista de Janot;
24.03.2015;Brésil : le trésorier du parti au pouvoir jugé pour corruption dans le scandale Petrobras;http://www.lemonde.fr/ameriques/article/2015/03/24/bresil-le-tresorier-du-parti-au-pouvoir-juge-pour-corruption-dans-le-scandale-petrobras_4599703_3222.html?xtmc=lava_jato&xtcr=84;Lava Jato;AFP  ;Justiça brasileira;João Vaccari (tesoureiro do PT), Lava Jato;;
24.03.2015;Brésil : le trésorier du parti au pouvoir jugé pour corruption dans le scandale Petrobras;http://www.lemonde.fr/ameriques/article/2015/03/24/bresil-le-tresorier-du-parti-au-pouvoir-juge-pour-corruption-dans-le-scandale-petrobras_4599703_3222.html?xtmc=lava_jato&xtcr=84;Lava Jato;AFP  ;investigadores;João Vaccari (tesoureiro do PT), Lava Jato;;
24.03.2015;Brésil : le trésorier du parti au pouvoir jugé pour corruption dans le scandale Petrobras;http://www.lemonde.fr/ameriques/article/2015/03/24/bresil-le-tresorier-du-parti-au-pouvoir-juge-pour-corruption-dans-le-scandale-petrobras_4599703_3222.html?xtmc=lava_jato&xtcr=84;Lava Jato;AFP  ;comunicado do Partido dos Trabalhadores (PT);João Vaccari (tesoureiro do PT), Lava Jato;;
19.06.2015;Brésil : nouvelles arrestations de dirigeants dans le scandale de corruption Petrobras;http://www.lemonde.fr/ameriques/article/2015/06/19/bresil-nouvelles-arrestations-de-dirigeants-dans-le-scandale-de-corruption-petrobras_4658278_3222.html?xtmc=lava_jato&xtcr=83;Lava Jato;Correspondente Nicolas Bourcier;Comunicado oficial da Odebrecht;Prisão de Marcelo Odebrecht e Octavio Azevedo;;
19.06.2015;Brésil : nouvelles arrestations de dirigeants dans le scandale de corruption Petrobras;http://www.lemonde.fr/ameriques/article/2015/06/19/bresil-nouvelles-arrestations-de-dirigeants-dans-le-scandale-de-corruption-petrobras_4658278_3222.html?xtmc=lava_jato&xtcr=83;Lava Jato;Correspondente Nicolas Bourcier;Polícia Federal;Prisão de Marcelo Odebrecht e Octavio Azevedo;;
12.08.2015 ;La descente aux enfers de Marcelo Odebrecht;http://www.lemonde.fr/economie/article/2015/08/12/la-descente-aux-enfers-de-marcelo-odebrecht_4722099_3234.html?xtmc=lava_jato&xtcr=82;Lava Jato;Correspondente Nicolas Bourcier;Wall Street Journal;Marcelo Odebrecht;Prisão de Marcelo Odebrechet;
10.09.2015;"Le chemin de croix de Dilma Rousseff
";http://www.lemonde.fr/ameriques/article/2015/09/10/le-chemin-de-croix-de-dilma-rousseff_4750709_3222.html#K7cwpg9S2ScZhUOk.99;Lava Jato;Correspondente Claire Gatinois;Jorge Zaverucha (politicólogo);Crise no governo de Dilma Rousseff;;Uma crise moral, porque a recessão, o desemprego e a inflação são adicionados ao efeito devastador dos casos de corrupção. Não passa um dia sem a operação Lava jato, a investigação sobre o pagamento de subornos ligados ao grupo petrolífero estatal da Petrobras, não envolver políticos de todos os lados bem como líderes do edifício e obras públicas.
10.09.2015;"Le chemin de croix de Dilma Rousseff
";http://www.lemonde.fr/ameriques/article/2015/09/10/le-chemin-de-croix-de-dilma-rousseff_4750709_3222.html#K7cwpg9S2ScZhUOk.99;Lava Jato;Correspondente Claire Gatinois;Standard & Poor (agência de rating);Crise no governo de Dilma Rousseff;;Uma crise moral, porque a recessão, o desemprego e a inflação são adicionados ao efeito devastador dos casos de corrupção. Não passa um dia sem a operação Lava jato, a investigação sobre o pagamento de subornos ligados ao grupo petrolífero estatal da Petrobras, não envolver políticos de todos os lados bem como líderes do edifício e obras públicas.
