Data;Titulo;URL;Autor;LULA;DILMA ROUSSEFF;TEMER;SERGIO MORO;ODEBRECHT;PETROBRAS
06.09.14;Des dizaines de parlementaires brésiliens accusés d'avoir touché des pots-de-vin;http://liberation.fr/planete/2014/09/06/des-dizaines-de-parlementaires-bresiliens-accuses-d-avoir-touche-des-pots-de-vin_1094840; AFP;True;True;False;False;False;True
28.02.15;Rousseff tente de passer entre les gouttes du «Petrolão»;http://liberation.fr/planete/2015/02/27/rousseff-tente-de-passer-entre-les-gouttes-du-petrolao_1211209;Chantal Rayes;True;True;True;False;False;True
06.02.15;Petrobras : le Parti des travailleurs éclaboussé;http://liberation.fr/planete/2015/02/05/petrobras-le-parti-des-travailleurs-eclabousse_1196549;;False;True;False;False;False;True
27.01.16;Un policier d'origine japonaise propulsé star nationale au Brésil;http://liberation.fr/planete/2016/01/27/un-policier-d-origine-japonaise-propulse-star-nationale-au-bresil_1429136;François-Xavier Gomez;False;True;False;False;True;False
01.04.16;Qui veut encore sauver la gauche brésilienne ?;http://liberation.fr/planete/2016/03/31/qui-veut-encore-sauver-la-gauche-bresilienne_1443168;Chantal Rayes;True;True;True;False;False;True
01.04.16;La campagne musclée du juge Moro contre Lula;http://liberation.fr/planete/2016/03/31/la-campagne-musclee-du-juge-moro-contre-lula_1443149;Chantal Rayes;True;True;False;False;True;True
05.03.16;Lula au commissariat, le crépuscule d’une idole ?;http://liberation.fr/planete/2016/03/04/lula-au-commissariat-le-crepuscule-d-une-idole_1437611;Chantal Rayes;True;True;False;False;False;True
19.04.16;Cruelle sortie annoncée pour Dilma Rousseff;http://liberation.fr/planete/2016/04/18/cruelle-sortie-annoncee-pour-dilma-rousseff_1447078;Christian Losson;True;True;True;False;False;False
01.04.16;Qui veut encore sauver la gauche brésilienne ?;http://liberation.fr/planete/2016/03/31/qui-veut-encore-sauver-la-gauche-bresilienne_1443168;Chantal Rayes;True;True;True;False;False;True
01.04.16;La campagne musclée du juge Moro contre Lula;http://liberation.fr/planete/2016/03/31/la-campagne-musclee-du-juge-moro-contre-lula_1443149;Chantal Rayes;True;True;False;False;True;True
12.05.16;Destitution: Rousseff dénonce un «coup d'Etat»;http://liberation.fr/planete/2016/05/12/destitution-rousseff-denonce-un-coup-d-etat_1452084;Chantal Rayes;True;True;True;False;False;True
06.05.16;Brésil : le pourfendeur de Rousseff, arroseur arrosé;http://liberation.fr/planete/2016/05/05/bresil-le-pourfendeur-de-rousseff-arroseur-arrose_1450792;François-Xavier Gomez;True;True;True;False;False;True
09.06.16;Brésil: le héros anti-corruption était contrebandier;http://liberation.fr/planete/2016/06/09/bresil-le-heros-anti-corruption-etait-contrebandier_1458366;Mégane De Amorim;False;False;False;False;False;False
13.07.16;Lula : «La politique, c’est l’art de l’impossible»;http://liberation.fr/planete/2016/07/12/luis-inacio-lula-da-silva-la-politique-c-est-l-art-de-l-impossible_1465831;Chantal Rayes;True;True;True;False;False;False
25.08.16;Dilma Rousseff abandonnée entre chiens et loups;http://liberation.fr/planete/2016/08/24/dilma-rousseff-abandonnee-entre-chiens-et-loups_1474476;Chantal Rayes;True;True;True;False;False;False
16.09.16;Affaire Petrobras : une gifle  pour la figure Lula;http://liberation.fr/planete/2016/09/15/affaire-petrobras-une-gifle-pour-la-figure-lula_1498490;Chantal Rayes;True;True;False;False;False;True
15.09.16;Brésil: l'avenir de Lula suspendu à la justice;http://liberation.fr/planete/2016/09/15/bresil-l-avenir-de-lula-suspendu-a-la-justice_1498368;Chantal Rayes;True;True;False;False;False;True
05.09.16;Michel Temer, le restaurateur;http://liberation.fr/planete/2016/09/04/michel-temer-le-restaurateur_1482842;Chantal Rayes;True;True;True;False;False;True
16.12.16;Au Brésil, le gouvernement de Michel Temer vacille;http://liberation.fr/planete/2016/12/15/au-bresil-le-gouvernement-de-michel-temer-vacille_1535625;Chantal Rayes;False;True;True;False;True;True
22.02.17;Brésil Un ministre accusé de corruption devient juge anticorruption;http://liberation.fr/planete/2017/02/21/bresil-un-ministre-accuse-de-corruption-devient-juge-anticorruption_1550128;Chantal Rayes;False;False;True;False;False;True
21.02.17;Au Brésil, un ministre accusé de corruption devient juge... anti-corruption ;http://liberation.fr/planete/2017/02/21/au-bresil-un-ministre-accuse-de-corruption-devient-juge-anti-corruption_1550029;Chantal Rayes;True;True;True;False;True;True
11.02.17;Au Brésil, une grève de policiers déclenche une flambée de meurtres;http://liberation.fr/planete/2017/02/10/au-bresil-une-greve-de-policiers-declenche-une-flambee-de-meurtres_1547803;François-Xavier Gomez;False;True;True;False;False;True
03.02.17;Une rentrée politique de tous les dangers au Brésil;http://liberation.fr/planete/2017/02/03/une-rentree-politique-de-tous-les-dangers-au-bresil_1546019; AFP;True;True;True;False;True;True
16.03.17;Scandale Petrobras : la liste qui fait trembler la classe politique brésilienne;http://liberation.fr/planete/2017/03/15/scandale-petrobras-la-liste-qui-fait-trembler-la-classe-politique-bresilienne_1556018;Chantal Rayes;True;True;True;False;True;True
19.04.17;Au Brésil, amende nourrie pour groupe de BTP pourri;http://liberation.fr/planete/2017/04/18/au-bresil-amende-nourrie-pour-groupe-de-btp-pourri_1563577;Chantal Rayes;True;True;True;False;True;True
13.04.17;Brésil Le gratin politique devant la Cour suprême;http://liberation.fr/planete/2017/04/12/bresil-le-gratin-politique-devant-la-cour-supreme_1562410;Chantal Rayes;True;False;False;False;True;False
12.04.17;Le gratin politique brésilien au menu de la Cour suprême;http://liberation.fr/planete/2017/04/12/le-gratin-politique-bresilien-au-menu-de-la-cour-supreme_1562306;Chantal Rayes;True;True;True;True;True;False
05.04.17;La campagne de Guyane;http://liberation.fr/debats/2017/04/04/la-campagne-de-guyane_1560511;Emmanuel Lézy;False;True;False;False;False;False
26.05.17;Brésil : Temer le «destitueur» s’approche de la destitution;http://liberation.fr/planete/2017/05/25/bresil-temer-le-destitueur-s-approche-de-la-destitution_1572370;Chantal Rayes;True;True;True;False;False;True
25.05.17;Corruption : le président brésilien sur un siège éjectable;http://liberation.fr/planete/2017/05/25/corruption-le-president-bresilien-sur-un-siege-ejectable_1572265;Chantal Rayes;True;True;True;False;False;False
18.05.17;Michel Temer ne veut pas démissionner, malgré des accusations accablantes;http://liberation.fr/planete/2017/05/18/michel-temer-ne-veut-pas-demissionner-malgre-des-accusations-accablantes_1570510;Chantal Rayes;True;True;True;False;False;False
28.06.17;Accusé de corruption, Michel Temer s’accroche au pouvoir;http://liberation.fr/planete/2017/06/28/bresil-accuse-de-corruption-michel-temer-s-accroche-au-pouvoir_1580053;Chantal Rayes;False;False;True;False;False;False
12.07.17;Lula condamné à neuf ans de prison pour corruption ;http://liberation.fr/planete/2017/07/12/lula-condamne-a-neuf-ans-de-prison-pour-corruption_1583453;François-Xavier Gomez;True;False;False;True;False;False
